iter	Passed	Remaining
0	0	70
1	1	64
2	1	61
3	2	57
4	3	57
5	3	56
6	4	55
7	4	55
8	5	55
9	6	54
10	6	54
11	7	54
12	8	54
13	8	53
14	9	53
15	10	53
16	11	53
17	11	54
18	13	55
19	13	55
20	14	54
21	15	54
22	16	53
23	16	53
24	17	52
25	18	52
26	19	51
27	19	51
28	20	51
29	22	51
30	23	52
31	24	51
32	25	51
33	26	50
34	27	50
35	28	50
36	29	50
37	30	49
38	31	49
39	32	48
40	33	48
41	34	47
42	35	46
43	36	46
44	37	46
45	38	45
46	40	45
47	42	45
48	43	45
49	45	45
50	46	44
51	46	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	69	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
